Date,Open,High,Low,Close,Adj Close,Volume
06-04-2023,283.209991,292.079987,282.029999,291.600006,290.349182,29770300
10-04-2023,289.209991,289.600006,284.709991,289.390015,288.148682,23103000
11-04-2023,285.75,285.980011,281.640015,282.829987,281.616821,27276600
12-04-2023,284.790009,287.01001,281.959991,283.48999,282.273987,27403400
13-04-2023,283.589996,289.899994,283.170013,289.839996,288.596741,24222700
14-04-2023,287,288.480011,283.690002,286.140015,284.912628,20987900
17-04-2023,289.929993,291.600006,286.160004,288.799988,287.561188,23836200
18-04-2023,291.570007,291.76001,287.01001,288.369995,287.133057,20161800
19-04-2023,285.98999,289.049988,284.540009,288.450012,287.212708,17150300
20-04-2023,285.25,289.029999,285.079987,286.109985,284.882721,23244400
21-04-2023,285.01001,286.269989,283.059998,285.76001,284.534271,21676400
24-04-2023,282.089996,284.950012,278.720001,281.769989,280.561371,26611000
25-04-2023,279.51001,281.600006,275.369995,275.420013,274.238647,45772200
26-04-2023,296.700012,299.570007,292.730011,295.369995,294.103027,64599200
27-04-2023,295.970001,305.200012,295.25,304.829987,303.52243,46462600
28-04-2023,304.01001,308.929993,303.309998,307.26001,305.942047,36446700
01-05-2023,306.970001,308.600006,305.149994,305.559998,304.249329,21294100
02-05-2023,307.76001,309.179993,303.910004,305.410004,304.099945,26404400
03-05-2023,306.619995,308.609985,304.089996,304.399994,303.094299,22360800
04-05-2023,306.23999,307.76001,303.399994,305.410004,304.099945,22519900
05-05-2023,305.720001,311.970001,304.269989,310.649994,309.317505,28181200
08-05-2023,310.130005,310.200012,306.089996,308.649994,307.32605,21318600
09-05-2023,308,310.040009,306.309998,307,305.683136,21340800
10-05-2023,308.619995,313,307.670013,312.309998,310.970367,30078000
11-05-2023,310.100006,311.119995,306.26001,310.109985,308.779785,31680200
12-05-2023,310.549988,310.649994,306.600006,308.970001,307.644714,19758100
15-05-2023,309.100006,309.899994,307.589996,309.459991,308.132599,16336500
16-05-2023,309.829987,313.709991,309.829987,311.73999,310.402802,26730300
17-05-2023,312.290009,314.429993,310.73999,314,313.336609,24315000
18-05-2023,314.529999,319.040009,313.720001,318.519989,317.847046,27276000
19-05-2023,316.73999,318.75,316.369995,318.339996,317.667419,27529500
22-05-2023,318.600006,322.589996,318.01001,321.179993,320.501434,24115700
23-05-2023,320.029999,322.720001,315.25,315.26001,314.593933,30797200
24-05-2023,314.730011,316.5,312.609985,313.850006,313.18692,23384900
25-05-2023,323.23999,326.899994,320,325.920013,325.231415,43301700
26-05-2023,324.019989,333.399994,323.880005,332.890015,332.186707,36630600
30-05-2023,335.230011,335.73999,330.519989,331.209991,330.510223,29503100
31-05-2023,332.290009,335.940002,327.329987,328.390015,327.696198,45950600
01-06-2023,325.929993,333.529999,324.720001,332.579987,331.877319,26773900
02-06-2023,334.25,337.5,332.549988,335.399994,334.691376,25864000
05-06-2023,335.220001,338.559998,334.660004,335.940002,335.230255,21307100
06-06-2023,335.329987,335.369995,332.170013,333.679993,332.975006,20396200
07-06-2023,331.649994,334.48999,322.5,323.380005,322.696777,40717100
08-06-2023,323.940002,326.640015,323.350006,325.26001,324.572815,23277700
09-06-2023,324.98999,329.98999,324.410004,326.790009,326.099579,22514900
12-06-2023,328.579987,332.100006,325.160004,331.850006,331.148895,24260300
13-06-2023,334.470001,336.980011,330.390015,334.290009,333.58374,22951300
14-06-2023,334.339996,339.040009,332.809998,337.339996,336.627289,26003800
15-06-2023,337.480011,349.839996,337.200012,348.100006,347.364563,38899100
16-06-2023,351.320007,351.470001,341.950012,342.329987,341.60672,46533600
20-06-2023,339.309998,342.079987,335.859985,338.049988,337.335785,26375400
21-06-2023,336.369995,337.730011,332.070007,333.559998,332.855255,25117800
22-06-2023,334.119995,340.119995,333.339996,339.709991,338.992279,23556800
23-06-2023,334.359985,337.959991,333.450012,335.019989,334.312164,23084700
26-06-2023,333.720001,336.109985,328.48999,328.600006,327.905762,21520600
27-06-2023,331.859985,336.149994,329.299988,334.570007,333.863159,24354100
28-06-2023,334.660004,337.980011,333.809998,335.850006,335.140442,20259500
29-06-2023,334.709991,336.109985,332.619995,335.049988,334.342102,16997000
30-06-2023,337.75,342.730011,337.200012,340.540009,339.820526,26823800
03-07-2023,339.190002,340.899994,336.570007,337.98999,337.275909,12508700
05-07-2023,335.089996,341.649994,334.730011,338.149994,337.435577,18172400
06-07-2023,337.299988,342.98999,335.5,341.269989,340.548981,28161200
07-07-2023,339.320007,341.790009,337,337.220001,336.507538,21185300
10-07-2023,334.600006,335.230011,327.589996,331.829987,331.128906,32791400
11-07-2023,331.059998,332.859985,327,332.470001,331.767578,26698200
12-07-2023,336.600006,341.649994,335.670013,337.200012,336.487579,29995300
13-07-2023,339.559998,343.73999,339.019989,342.660004,341.936035,20567200
14-07-2023,347.589996,351.429993,344.309998,345.23999,344.51059,28302200
17-07-2023,345.679993,346.98999,342.200012,345.730011,344.999573,20363900
18-07-2023,345.829987,366.779999,342.170013,359.48999,358.730469,64872700
19-07-2023,361.75,362.459991,352.440002,355.079987,354.329803,39732900
20-07-2023,353.570007,357.970001,345.369995,346.869995,346.137146,33778400
21-07-2023,349.149994,350.299988,339.829987,343.769989,343.043701,69368900
24-07-2023,345.850006,346.920013,342.309998,345.109985,344.380859,26678100
25-07-2023,347.109985,351.890015,345.070007,350.980011,350.238464,41637700
26-07-2023,341.440002,344.670013,333.109985,337.769989,337.056366,58383700
27-07-2023,340.480011,341.329987,329.049988,330.720001,330.021271,39635300
28-07-2023,333.670013,340.01001,333.170013,338.369995,337.65509,28484900
31-07-2023,336.920013,337.700012,333.359985,335.920013,335.210297,25446000
01-08-2023,335.190002,338.540009,333.700012,336.339996,335.629395,18311900
02-08-2023,333.630005,333.630005,326.359985,327.5,326.808075,27761300
03-08-2023,326,329.880005,325.950012,326.660004,325.969849,18253700
04-08-2023,331.880005,335.140015,327.23999,327.779999,327.087494,23727700
07-08-2023,328.369995,331.109985,327.519989,330.109985,329.412537,17741500
08-08-2023,326.959991,328.75,323,326.049988,325.361115,22327600
09-08-2023,326.470001,327.109985,321.049988,322.230011,321.549225,22373300
10-08-2023,326.019989,328.26001,321.179993,322.929993,322.247711,20113700
11-08-2023,320.26001,322.410004,319.209991,321.01001,320.331787,24342600
14-08-2023,321.390015,324.059998,320.079987,324.040009,323.355408,18836100
15-08-2023,323,325.089996,320.899994,321.859985,321.179962,16966300
16-08-2023,320.799988,324.420013,319.799988,320.399994,320.399994,20698900
17-08-2023,320.540009,321.869995,316.209991,316.880005,316.880005,21257200
18-08-2023,314.48999,318.380005,311.549988,316.480011,316.480011,24744800
21-08-2023,317.929993,322.769989,317.040009,321.880005,321.880005,24040000
22-08-2023,325.5,326.079987,321.459991,322.459991,322.459991,16102000
23-08-2023,323.820007,329.200012,323.459991,327,327,21166400
24-08-2023,332.850006,332.980011,319.959991,319.970001,319.970001,23281400
25-08-2023,321.470001,325.359985,318.799988,322.980011,322.980011,21684100
28-08-2023,325.660004,326.149994,321.720001,323.700012,323.700012,14808500
29-08-2023,321.880005,328.980011,321.880005,328.410004,328.410004,19284600
30-08-2023,328.670013,329.809998,326.450012,328.790009,328.790009,15222100
31-08-2023,329.200012,330.910004,326.779999,327.76001,327.76001,26411000
01-09-2023,331.309998,331.98999,326.779999,328.660004,328.660004,14931200
05-09-2023,329,334.850006,328.660004,333.549988,333.549988,18553900
06-09-2023,333.380005,334.459991,330.179993,332.880005,332.880005,17535800
07-09-2023,331.290009,333.079987,329.029999,329.910004,329.910004,18381000
08-09-2023,330.089996,336.160004,329.459991,334.269989,334.269989,19530100
11-09-2023,337.23999,338.420013,335.429993,337.940002,337.940002,16583300
12-09-2023,335.820007,336.790009,331.480011,331.769989,331.769989,17565500
13-09-2023,331.309998,336.850006,331.170013,336.059998,336.059998,16544400
14-09-2023,339.149994,340.859985,336.570007,338.700012,338.700012,20267000
15-09-2023,336.920013,337.399994,329.649994,330.220001,330.220001,37666900
18-09-2023,327.799988,330.399994,326.359985,329.059998,329.059998,16834200
19-09-2023,326.170013,329.390015,324.51001,328.649994,328.649994,16505900
20-09-2023,329.51001,329.589996,320.51001,320.769989,320.769989,21436500
21-09-2023,319.26001,325.350006,315,319.529999,319.529999,35529500
22-09-2023,321.320007,321.450012,316.149994,317.01001,317.01001,21447900
25-09-2023,316.589996,317.670013,315,317.540009,317.540009,17836000
26-09-2023,315.130005,315.880005,310.019989,312.140015,312.140015,26297600
27-09-2023,312.299988,314.299988,309.690002,312.790009,312.790009,19410100
28-09-2023,310.98999,315.480011,309.450012,313.640015,313.640015,19683600
29-09-2023,317.75,319.470001,314.980011,315.75,315.75,24140300
02-10-2023,316.279999,321.890015,315.179993,321.799988,321.799988,20570000
03-10-2023,320.829987,321.390015,311.209991,313.390015,313.390015,21033500
04-10-2023,314.029999,320.040009,314,318.959991,318.959991,20720100
05-10-2023,319.089996,319.980011,314.899994,319.359985,319.359985,16949300
